NOM_REG,NOM_PROV,NOM_COM,SHAPE_LENG,DIS_ELEC,CIR_SENA,COD_COMUNA,SHAPE_Le_1,SHAPE_Area,id
Región de Valparaíso,Quillota,La Cruz,50791.55919,10,5,5504,50791.55928,78086801.68,1
Región de Valparaíso,Quillota,Nogales,105327.9498,10,5,5506,105327.9502,405645246,1
Región de Valparaíso,Quillota,Quillota,89718.94226,10,5,5501,89718.94177,302406671.4,1
Región de Valparaíso,San Antonio,Algarrobo,74778.73247,15,6,5602,74778.73234,177136174.2,1
Región de Valparaíso,San Antonio,Cartagena,92123.71657,15,6,5603,92123.71654,244152128.3,1
Región de Valparaíso,San Antonio,El Tabo,61694.84582,15,6,5605,61694.84598,100478386.9,1
Región de Valparaíso,San Antonio,San Antonio,123220.5923,15,6,5601,123220.5927,407956761.8,1
Región de Valparaíso,San Antonio,Santo Domingo,119766.4038,15,6,5606,119766.4028,535369659.9,1
Región de Valparaíso,San Felipe,Catemu,95737.09348,11,5,5702,95737.09343,361908068.4,1
Región de Valparaíso,San Felipe,Llaillay,97590.97292,11,5,5703,97590.97265,348794831.7,1
Región de Valparaíso,Quillota,Calera,57150.93897,10,5,5502,57150.93903,59562284.73,1
Región de Valparaíso,San Felipe,Putaendo,223619.0926,11,5,5705,223619.0924,1454734113,1
Región de Valparaíso,San Felipe,San Felipe,96036.67861,11,5,5701,95541.55494,186446141.2,1
Región de Valparaíso,San Antonio,El Quisco,44311.70813,15,6,5604,44311.70837,52408931.51,1
Región de Valparaíso,San Felipe,Santa María,77146.71133,11,5,5706,77146.71106,166312073,1
Región de Valparaíso,Valparaíso,Casablanca,207666.992,15,6,5102,207666.9909,954150220.8,1
Región de Valparaíso,Valparaíso,Concón,49027.49426,14,6,5103,49196.7656,76047680.86,1
Región de Valparaíso,Valparaíso,Puchuncaví,111211.2105,10,5,5105,111211.2102,300773430.2,1
Región de Valparaíso,Valparaíso,Quintero,81537.79137,10,5,5107,81537.79259,148654295.5,1
Región de Valparaíso,Valparaíso,Valparaíso,121154.3091,13,6,5101,121044.9,309877196.5,1
Región de Valparaíso,Valparaíso,Viña del Mar,62717.1412,14,6,5109,62177.23247,119216575.6,1
Región del Bío-Bío,Arauco,Arauco,224439.9754,46,13,8202,224439.9756,963713888.1,1
Región del Bío-Bío,Arauco,Cañete,230584.1024,46,13,8203,230584.1018,1090679743,1
Región del Bío-Bío,Arauco,Contulmo,196938.9311,46,13,8204,196938.9305,639437139.8,1
Región del Bío-Bío,Arauco,Curanilahue,203354.3266,46,13,8205,203354.3266,999845269.6,1
Región del Bío-Bío,Arauco,Lebu,206188.9945,46,13,8201,206188.9954,567532124.7,1
Región del Bío-Bío,Arauco,Los Alamos,191513.6581,46,13,8206,191513.6571,602520351.7,1
Región del Bío-Bío,Arauco,Tirúa,162681.4453,46,13,8207,162681.4452,628400493.2,1
Región del Bío-Bío,Bío-Bío,Alto Biobío,248358.5273,47,13,8314,248358.5271,2107221814,1
Región del Bío-Bío,Bío-Bío,Antuco,321068.2072,47,13,8302,321068.2073,1957065847,1
Región del Bío-Bío,Bío-Bío,Cabrero,144203.9381,42,12,8303,144203.9383,658644085.4,1
Región del Bío-Bío,Bío-Bío,Laja,78536.59894,47,13,8304,78536.59912,345504641.2,1
Región del Bío-Bío,Bío-Bío,Los Angeles,257441.724,47,13,8301,257441.7247,1752319265,1
Región de Tarapacá,Iquique,Iquique,404768.386,2,1,1101,404768.3862,2398632803,1
Región Metropolitana de Santiago,Maipo,Calera de Tango,44852.01643,30,7,1340,44910.61018,73034868.38,1
Región Metropolitana de Santiago,Melipilla,Melipilla,232762.6787,31,7,1350,232762.6793,1341652167,1
Región Metropolitana de Santiago,Santiago,Cerrillos,20923.85924,20,7,1310,20711.64664,16615883.09,1
Región Metropolitana de Santiago,Santiago,Cerro Navia,16740.50894,18,7,1310,16760.7967,11066725.03,1
Región Metropolitana de Santiago,Santiago,Conchalí,13816.63439,17,7,1310,13929.21475,10995118.17,1
Región de Los Lagos,Chiloe,Ancud,596835.8061,58,17,1020,513350.7926,1777595359,1
Región Metropolitana de Santiago,Santiago,El Bosque,15584.86388,27,8,1310,15718.8023,14269674.91,1
Región Metropolitana de Santiago,Santiago,Peñalolén,36618.97169,24,8,1312,36636.813,53468188.47,1
