NombreComuna,centralNombre,Potencia,UTM_este,UTM_oeste,NOM_REG,NOM_PROV,COD_COM,NOM_COM,COD_REGI,SUPERFICIE,POBLAC02,POBL2010,SHAPE_Leng,SHAPE_Area
Pozo Almonte,La Huayca II,25.05000,444294.84000,7738386.01000,Región de Tarapacá,Iquique,"01101",Iquique,1.00000000000,59099.10000000000,"428594","683203",1118269.85920000006,42548579682.69999694824
Quilicura,Solar Las Araucarias,0.14000,340724.63000,6309048.77000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Salamanca,Solar Chuchini,2.88000,303234.00000,6485793.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Punitaqui,Solar El Divisadero,3.00000,296519.00000,6585324.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Vallenar,Solar El Romero,196.00000,313298.95000,6778249.33000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
La Ligua,Solar Dona Carmen Solar,34.61700,288376.00000,6404151.00000,Región de Valparaíso,Los Andes,"05304",San Esteban,5.00000000000,16396.10000000000,"1539852","1759167",1045288.27483999997,16007244207.00000000000
La Higuera,Solar El Pelicano,100.00000,317795.00000,6774701.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Ovalle,Solar Alturas de Ovalle,6.00000,284945.00000,6617789.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
San Felipe,Solar Hormiga Solar,2.54000,338781.00000,6378884.00000,Región de Valparaíso,Los Andes,"05304",San Esteban,5.00000000000,16396.10000000000,"1539852","1759167",1045288.27483999997,16007244207.00000000000
San Pedro,Solar San Pedro,3.00000,274116.00000,6245922.00000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Quillota,Solar El Boco,3.00000,290701.20000,6362551.89000,Región de Valparaíso,Los Andes,"05304",San Esteban,5.00000000000,16396.10000000000,"1539852","1759167",1045288.27483999997,16007244207.00000000000
Las Cabras,,2.98000,281092.62000,6226071.92000,Región del Libertador Bernardo O'Higgins,Cachapoal,"06109",Malloa,6.00000000000,16387.00000000000,"780627","883368",803163.59645299998,16345213476.60000038147
San Pedro,,9.00000,279692.52000,6231778.51000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
El Monte,,9.00000,312590.94000,6271484.42000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Melipilla,,3.00000,299276.07940,6275979.73800,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Melipilla,,3.00000,299012.00000,6281056.00000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Hijuelas,,3.00000,304392.60700,6357696.13600,Región de Valparaíso,Los Andes,"05304",San Esteban,5.00000000000,16396.10000000000,"1539852","1759167",1045288.27483999997,16007244207.00000000000
Antofagasta,Uribe Solar,52.80000,375836.00000,7393726.00000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Sierra Gorda,FV Bolero,146.64000,457390.50000,7403012.87000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Marchihue,,8.99000,266425.07130,6197408.10200,Región del Libertador Bernardo O'Higgins,Cachapoal,"06109",Malloa,6.00000000000,16387.00000000000,"780627","883368",803163.59645299998,16345213476.60000038147
Melipilla,Solar Las Turcas,3.00000,289139.00000,6257356.00000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Mar�a Elena,Cerro Dominador FV,99.05000,448826.00000,7483190.00000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Mostazal,,3.00000,349503.00000,6236848.00000,Región del Libertador Bernardo O'Higgins,Cachapoal,"06109",Malloa,6.00000000000,16387.00000000000,"780627","883368",803163.59645299998,16345213476.60000038147
Curic�,Solar Cordillerilla,1.43000,446528.00000,6583769.00000,,,,,,,,,,
